"","period","county","region","year","id","quarter","naloxone_count","agent_type","death_counts_all_opioids","death_rate_all_opioids","death_counts_heroin","death_rate_heroin","death_counts_pain_relievers","death_rate_pain_relievers","2017_pct_bb_covrg","county.f","agent_type_f","date","nalonxe_per_death","enrolled","population","region_pop","pp_medicaid_enroll","equifax","unemployment","pp_constr_employ","avg_earnings","post","treat","time_to_treat","post_alt","treat_alt","time_to_treat_alt","cumulative_trend_alt","bb_treatment"
"21",1,"Allegany","Western",2015,2,1,5,"EMS",1,2.1,0,0,1,2.1,0.55641025,"Allegany","EMS",2015-01-01,5,1052181,47334,4166373,8.41804130355107,26.4819944598338,7.83333333333333,0.0129136924075276,2651,0,0,0,0,1,-9,0.20390212697905,0.113453233447945
"22",1,"Wyoming","Finger Lakes",2015,56,1,7,"EMS",1,2.4,0,0,1,2.4,0.63218391,"Wyoming","EMS",2015-01-01,7,855932,40930,5032686,5.66915294669023,21.7716781035558,7.9,0.0249201277955272,3406,0,0,0,0,1,-9,0.20390212697905,0.128903643890932
"23",1,"Wyoming","Finger Lakes",2015,2336,1,0,"COOP",1,2.4,0,0,1,2.4,0.63218391,"Wyoming","COOP",2015-01-01,0,855932,40930,5032686,5.66915294669023,21.7716781035558,7.9,0.0249201277955272,3406,0,0,0,0,0,0,0.20390212697905,0.128903643890932
"24",1,"Wyoming","Finger Lakes",2015,1196,1,2,"LEO",1,2.4,0,0,1,2.4,0.63218391,"Wyoming","LEO",2015-01-01,2,855932,40930,5032686,5.66915294669023,21.7716781035558,7.9,0.0249201277955272,3406,0,1,-9,0,1,-9,0.20390212697905,0.128903643890932
"25",1,"Wayne","Finger Lakes",2015,2334,1,0,"COOP",0,0,0,0,0,0,0.86773753,"Wayne","COOP",2015-01-01,0,855932,91291,5032686,5.66915294669023,25.6291730868002,6.76666666666667,0.0463869296099036,3245,0,0,0,0,0,0,0.20390212697905,0.176933528026547
"26",1,"Warren","Capital District",2015,1192,1,0,"LEO",3,4.6,0,0,3,4.6,0.85375106,"Warren","LEO",2015-01-01,0,676474,64420,3250188,6.93779354712199,26.7094017094017,7.3,0.0335504520186423,3580,0,1,-9,0,1,-9,0.20390212697905,0.174081657044619
"27",1,"Tompkins","Southern Tier",2015,50,1,14,"EMS",4,3.8,0,0,2,1.9,0.89345163,"Tompkins","EMS",2015-01-01,3.5,470241,103006,2117217,7.40344518299258,18.2836840666849,4.9,0.0192474048442907,3792,0,0,0,0,1,-9,0.20390212697905,0.182176687709899
"28",1,"Tompkins","Southern Tier",2015,2330,1,8,"COOP",4,3.8,0,0,2,1.9,0.89345163,"Tompkins","COOP",2015-01-01,2,470241,103006,2117217,7.40344518299258,18.2836840666849,4.9,0.0192474048442907,3792,0,0,0,0,0,0,0.20390212697905,0.182176687709899
"29",1,"Tompkins","Southern Tier",2015,1190,1,1,"LEO",4,3.8,0,0,2,1.9,0.89345163,"Tompkins","LEO",2015-01-01,0.25,470241,103006,2117217,7.40344518299258,18.2836840666849,4.9,0.0192474048442907,3792,0,1,-9,0,1,-9,0.20390212697905,0.182176687709899
"30",1,"Steuben","Southern Tier",2015,1186,1,0,"LEO",1,1,0,0,1,1,0.83197069,"Steuben","LEO",2015-01-01,0,470241,97551,2117217,7.40344518299258,27.7013752455796,7.36666666666667,0.0153235585933194,4982,0,1,-9,0,1,-9,0.20390212697905,0.169640593275228
"31",1,"Seneca","Finger Lakes",2015,45,1,4,"EMS",1,2.9,0,0,1,2.9,0.58181822,"Seneca","EMS",2015-01-01,4,855932,34801,5032686,5.66915294669023,25.9097525473071,6.53333333333333,0.0165541097018613,4286,0,0,0,0,1,-9,0.20390212697905,0.118633972573165
"32",1,"Seneca","Finger Lakes",2015,1185,1,3,"LEO",1,2.9,0,0,1,2.9,0.58181822,"Seneca","LEO",2015-01-01,3,855932,34801,5032686,5.66915294669023,25.9097525473071,6.53333333333333,0.0165541097018613,4286,0,1,-9,0,1,-9,0.20390212697905,0.118633972573165
"33",1,"Seneca","Finger Lakes",2015,2325,1,0,"COOP",1,2.9,0,0,1,2.9,0.58181822,"Seneca","COOP",2015-01-01,0,855932,34801,5032686,5.66915294669023,25.9097525473071,6.53333333333333,0.0165541097018613,4286,0,0,0,0,0,0,0.20390212697905,0.118633972573165
"34",1,"Saratoga","Capital District",2015,2321,1,0,"COOP",6,2.7,2,0.9,4,1.8,0.90478796,"Saratoga","COOP",2015-01-01,0,676474,226078,3250188,6.93779354712199,22.6272784412319,4.8,0.0648400619812375,4013,0,0,0,0,0,0,0.20390212697905,0.184488189509036
"35",1,"Rensselaer","Capital District",2015,2318,1,0,"COOP",6,3.7,1,0.6,4,2.5,0.88333941,"Rensselaer","COOP",2015-01-01,0,676474,159436,3250188,6.93779354712199,28.3127075158467,5.46666666666667,0.0521928091663374,4314,0,0,0,0,0,0,0.20390212697905,0.180114784543419
"36",1,"Rensselaer","Capital District",2015,38,1,24,"EMS",6,3.7,1,0.6,4,2.5,0.88333941,"Rensselaer","EMS",2015-01-01,4,676474,159436,3250188,6.93779354712199,28.3127075158467,5.46666666666667,0.0521928091663374,4314,0,0,0,0,1,-9,0.20390212697905,0.180114784543419
"37",1,"Rensselaer","Capital District",2015,1178,1,0,"LEO",6,3.7,1,0.6,4,2.5,0.88333941,"Rensselaer","LEO",2015-01-01,0,676474,159436,3250188,6.93779354712199,28.3127075158467,5.46666666666667,0.0521928091663374,4314,0,1,-9,0,1,-9,0.20390212697905,0.180114784543419
"38",1,"Otsego","Southern Tier",2015,2316,1,0,"COOP",2,3.3,0,0,2,3.3,0.55555558,"Otsego","COOP",2015-01-01,0,470241,60504,2117217,7.40344518299258,22.0331773713313,7,0.0169410745233969,3303,0,0,0,0,0,0,0.20390212697905,0.11327896441708
"39",1,"Orleans","Finger Lakes",2015,34,1,4,"EMS",0,0,0,0,0,0,0.63057321,"Orleans","EMS",2015-01-01,0,855932,41481,5032686,5.66915294669023,33.2915360501567,7.93333333333333,0.0259232671292973,3279,0,0,0,0,1,-9,0.20390212697905,0.128575218735007
"40",1,"Ontario","Finger Lakes",2015,1172,1,1,"LEO",0,0,0,0,0,0,0.89954376,"Ontario","LEO",2015-01-01,0,855932,109271,5032686,5.66915294669023,23.5467088893915,5.9,0.0535721345826909,3976,0,1,-9,0,1,-9,0.20390212697905,0.183418885974732
"41",1,"Ontario","Finger Lakes",2015,2312,1,0,"COOP",0,0,0,0,0,0,0.89954376,"Ontario","COOP",2015-01-01,0,855932,109271,5032686,5.66915294669023,23.5467088893915,5.9,0.0535721345826909,3976,0,0,0,0,0,0,0.20390212697905,0.183418885974732
"42",1,"Ontario","Finger Lakes",2015,32,1,12,"EMS",0,0,0,0,0,0,0.89954376,"Ontario","EMS",2015-01-01,0,855932,109271,5032686,5.66915294669023,23.5467088893915,5.9,0.0535721345826909,3976,0,0,0,0,1,-9,0.20390212697905,0.183418885974732
"43",1,"Nassau","Long Island",2015,2308,1,0,"COOP",43,3.2,14,1,26,1.9,0.9381001,"Nassau","COOP",2015-01-01,0,1614187,1354840,8540421,6.3001851235827,19.6664938655607,4.73333333333333,0.0429746290246558,5003,0,0,0,0,0,0,0.20390212697905,0.19128060570926
